,AF-P35498-F1-model_v6 z [A],AF-P35498-F1-model_v6 Radius [A]
0,-76.11939995,14.695490909090909
1,-75.01139985,14.127258181818183
2,-73.90339975,13.523089999999998
3,-72.79539965000001,12.951598181818182
4,-71.68739955,12.521597272727274
5,-70.57939945,12.239246363636363
6,-69.47139935,12.140340909090908
7,-68.36339925,12.160224545454547
8,-67.25539915,12.19762
9,-66.14739905,12.178156363636363
10,-65.03939895,11.567032727272725
11,-63.93139885000001,10.351667272727273
12,-62.82339875,10.999472500000001
13,-61.71539865,11.429288181818182
14,-60.60739855,10.150091818181819
15,-59.49939845,7.399902727272728
16,-58.39139835,7.551365454545455
17,-57.283398250000005,7.441126363636363
18,-56.17539815000001,7.447217272727272
19,-55.06739805,7.442173636363637
20,-53.95939795,7.5621209090909085
21,-52.85139785,7.305794545454546
22,-51.74339775,6.682527272727274
23,-50.63539765,6.2477481818181815
24,-49.52739755,6.039744166666666
25,-48.419397450000005,6.112399090909091
26,-47.31139735000001,6.113285454545454
27,-46.20339725,5.9720545454545455
28,-45.095397150000004,5.966076363636364
29,-43.98739705,5.996006363636363
30,-42.87939695,5.861914545454545
31,-41.77139685,5.588873636363637
32,-40.663396750000004,5.5322972727272735
33,-39.555396650000006,5.741125454545454
34,-38.44739655000001,6.010104545454545
35,-37.33939645,6.148430909090909
36,-36.231396350000004,6.526116363636363
37,-35.12339625,6.665340833333333
38,-34.01539615,6.71295090909091
39,-32.90739605,6.730679090909091
40,-31.799395950000005,6.621172727272728
41,-30.691395850000006,6.731039090909092
42,-29.583395750000005,6.631337272727273
43,-28.475395650000003,6.409124545454545
44,-27.367395550000005,6.2491936363636365
45,-26.259395450000003,6.057064545454546
46,-25.15139535,5.382375454545454
47,-24.043395250000003,4.796945454545455
48,-22.935395150000005,4.367521818181818
49,-21.827395050000007,4.122741666666666
50,-20.719394950000005,4.047656363636364
51,-19.611394850000003,3.868961818181818
52,-18.503394750000005,3.122326363636364
53,-17.395394650000004,2.8508863636363633
54,-16.287394550000002,2.4641945454545455
55,-15.179394450000004,2.22343
56,-14.071394350000006,2.193010909090909
57,-12.963394250000007,1.9497827272727273
58,-11.85539415000001,1.7297218181818181
59,-10.747394050000004,1.7616727272727273
60,-9.639393949999999,1.9918881818181815
61,-8.53139385,1.8276390909090907
62,-7.4233937500000025,1.7538924999999999
63,-6.315393650000004,1.7710563636363637
64,-5.207393550000006,2.031979090909091
65,-4.099393450000008,2.697401818181818
66,-2.99139335000001,3.3390127272727272
67,-1.8833932500000117,4.01024
68,-0.7753931500000064,4.448544545454546
69,0.33260694999999885,4.237944545454545
70,1.440607049999997,3.8684936363636364
71,2.548607149999995,3.6381945454545455
72,3.6566072499999933,3.5213927272727275
73,4.7646073499999915,3.2113718181818176
74,5.87260744999999,2.645757272727273
75,6.980607549999995,2.0586724999999997
76,8.08860765,1.5661700000000003
77,9.196607749999998,1.4008872727272728
78,10.304607849999996,1.590860909090909
79,11.412607949999995,1.753758181818182
80,12.520608049999993,2.002587272727273
81,13.628608149999991,2.5497281818181814
82,14.736608249999989,3.116582727272727
83,15.844608349999987,3.2541809090909095
84,16.952608449999993,3.5129245454545455
85,18.060608549999998,3.928561818181818
86,19.168608649999996,4.141448181818182
87,20.276608749999994,4.642459166666666
88,21.384608849999992,5.10309909090909
89,22.49260894999999,4.978502727272727
90,23.60060904999999,5.287854545454546
91,24.708609149999994,5.449556363636364
92,25.81660925,4.740274545454546
93,26.924609349999997,4.120311818181818
94,28.032609449999995,3.7808636363636365
95,29.140609549999994,3.7369536363636366
96,30.24860964999999,3.9077081818181814
97,31.35660974999999,4.354338181818182
98,32.46460984999999,5.0817536363636355
99,33.57260994999999,7.770528333333334
